# m/z,Intensity
836.4000,3.2381
836.5000,1.8247
836.6000,1.9031
836.7000,2.7792
836.8000,2.7546
836.9000,2.2750
837.1000,1.6681
837.2000,3.4500
837.3000,2.4000
837.4000,1.4371
837.5000,1.5464
837.6000,1.2454
837.7000,2.2361
837.8000,2.0000
837.9000,0.3876
838.0000,3.0000
838.1000,1.0000
838.2000,3.0856
838.3000,1.3588
838.4000,1.5948
838.5000,0.2010
838.6000,2.4515
838.7000,0.0396
838.8000,1.0000
838.9000,0.0354
839.0000,2.9072
839.1000,1.8681
839.2000,4.9948
839.3000,4.6165
839.4000,6.6531
839.5000,4.5258
839.6000,2.0000
839.7000,2.2330
839.8000,2.9368
839.9000,2.7041
840.0000,2.4687
840.1000,2.0000
840.2000,3.6474
840.3000,3.9433
840.4000,3.0000
840.5000,3.0000
840.6000,1.0268
840.7000,2.4577
840.8000,2.9281
840.9000,2.0000
841.0000,1.7188
841.1000,1.3181
841.2000,1.7854
841.3000,1.0000
841.4000,0.2907
841.5000,2.3438
841.6000,2.0000
841.7000,4.0000
841.8000,3.8845
841.9000,1.9814
842.0000,2.5206
842.1000,0.0598
842.2000,0.4010
842.3000,1.1381
842.4000,2.3617
842.5000,0.4479
842.6000,1.5423
842.7000,2.0000
842.8000,1.0000
842.9000,1.3990
843.0000,3.7526
843.1000,1.5072
843.2000,2.0320
843.3000,1.1629
843.4000,2.7381
843.5000,2.6804
843.6000,3.7804
843.7000,0.4539
843.8000,0.3237
843.9000,1.3804
844.0000,1.0000
844.1000,0.0835
844.2000,1.4351
844.4000,0.7485
844.5000,1.0000
844.6000,0.2753
844.7000,1.0000
844.8000,1.0000
845.0000,1.9482
845.1000,4.0082
845.2000,0.1155
845.3000,0.6072
845.4000,2.0000
845.5000,1.7268
845.6000,0.5554
845.7000,0.8412
846.0000,0.4794
846.1000,0.0804
846.2000,1.3565
846.4000,1.0000
846.5000,0.3247
846.6000,0.8845
846.8000,1.9710
846.9000,0.4206
847.0000,1.0000
847.1000,2.1278
847.2000,1.4619
847.3000,3.0000
847.4000,1.0000
847.5000,2.9223
847.6000,0.4557
847.8000,1.3485
