title,p27 - MD results,,,
plot_type,grid-line,,,
x_label,Time (ns),,,
color,#000000,#FD5200,#0000FF,#FF8000
label,Radius of Gyration,Surface Area,PA,EHSS
y_labels,Rg (AA),SASA (A^2),CCS (A^2),CCS (A^2)
label_unit,A,A2,A2,A2
axis_x,axis_y,axis_y,axis_y,axis_y
0.95,31.5288,24578.2864,4701.34,6187.42
0.952,31.4433,24818.4917,4697.77,6185.12
0.954,31.4625,25143.6057,4700.06,6190.84
0.956,31.4863,24242.1764,4690.32,6176.48
0.958,31.4739,24779.2483,4706.01,6196.56
0.96,31.4837,24515.8298,4706.7,6199.74
0.962,31.4404,25001.8937,4700.49,6195.03
0.964,31.4648,25123.5167,4709.36,6205.29
0.966,31.5286,25306.3201,4716.54,6215.66
0.968,31.4931,24573.8353,4692.62,6185.55
0.97,31.4813,24954.0857,4700.72,6188.97
0.972,31.4086,24674.5713,4694.75,6188.3
0.974,31.3543,24405.9942,4678.48,6163.83
0.976,31.464,24877.7066,4691.47,6175.31
0.978,31.5264,25120.029,4695.18,6181.03
0.98,31.4855,24799.8634,4688.71,6173.47
0.982,31.4653,24737.159,4692.29,6172.32
0.984,31.4713,24635.8689,4701.93,6187.74
0.986,31.4466,24640.9121,4698.23,6183.89
0.988,31.5057,24822.6808,4706.29,6200.99
0.99,31.4949,24224.5585,4690.74,6177.65
0.992,31.4971,24463.3334,4697.81,6189.87
0.994,31.6136,25141.6539,4709.32,6198.99
0.996,31.5738,24623.4341,4693.9,6181.19
0.998,31.6146,24582.4977,4709.87,6198.31
1,31.5671,24718.3447,4708.46,6197.81
1.002,31.4764,24190.0568,4690.38,6169.51
1.004,31.5286,24270.7519,4685.83,6167.9
1.006,31.5059,24057.3349,4690.56,6169.15
1.008,31.4496,24665.3806,4692.63,6177.11
1.01,31.4818,24456.301,4692.68,6174.66
1.012,31.5418,24813.2218,4697.08,6180.23
1.014,31.5155,24286.769,4686.93,6166.63
1.016,31.5178,24429.2261,4700.75,6189.2
1.018,31.473,24758.2527,4697.13,6189.42
1.02,31.5577,24813.2167,4710.31,6207.29
1.022,31.5204,25040.5415,4709.63,6205.19
1.024,31.4124,24925.3445,4708.87,6207.51
1.026,31.4332,24406.5668,4702.34,6195.64
1.028,31.5361,24614.4015,4704.73,6192.78
1.03,31.5365,24217.6491,4705.08,6197.07
1.032,31.5024,24985.9047,4710.62,6200.02
1.034,31.4992,24327.7559,4694.91,6180.04
